highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,theta,delta,meditationValue
12590,17673,7423,2556,5437,2320,27611,40850,41
13019,2415,7999,8763,3085,3196,34647,24783,40
10488,13701,14481,11796,2630,1267,49214,18128,40
20160,52971,4897,20133,8710,3812,67750,59208,48
11668,12400,4937,2625,2410,2674,13265,28630,50
5935,9616,8228,14495,6462,10228,64761,824154,47
10814,6304,6491,19099,4154,10355,76317,81707,43
6024,3521,3602,2272,1743,4161,21978,125461,37
27612,6872,18671,45875,32381,12586,206630,2309029,20
3716,11832,3924,947,1931,3103,16250,30957,30
4444,2326,22232,8827,2744,2330,6979,10576,30
4413,6716,9746,10203,6776,4332,5321,7723,30
4218,8677,19309,7727,3615,10536,4891,10095,40
4713,18549,21421,16932,6370,10587,64897,92714,30
23574,7202,7273,7213,1589,3056,36588,152986,41
2387,18735,1515,2546,2393,3546,52554,143611,40
52610,45820,8278,6433,7909,16030,160096,1303831,43
16703,15461,25098,22825,18097,9870,104816,581222,43
3576,4741,3356,5612,2744,6498,58777,133248,30
6293,2032,6541,17251,6030,4614,8163,3639,27
2040,1593,2249,3143,317,1757,16771,275183,20
4320,2745,2117,5717,1535,5198,35890,229474,17
4114,12186,18081,5112,13155,8192,32688,31776,23
2667,4920,2311,560,2382,2307,10884,53491,27
5082,6151,13537,3855,13152,16358,5432,25688,37
16206,2107,8831,2258,19411,15276,43039,295385,41
11260,2021,15786,7231,23624,10994,5145,23342,44
5235,13341,4552,2366,24451,5372,20896,5166,48
610,7282,7781,3451,5055,12944,19439,24997,44
7183,6595,10578,6515,4818,9523,20317,5813,44
15364,7004,18523,7175,6647,20926,9293,7960,48
1466,4144,1910,1617,2024,2487,35520,73562,35
8119,744,9230,1197,9076,12249,8213,4508,40
798,11354,2052,5182,1251,1038,17827,41105,41
1402,5425,2410,5908,2719,912,23678,16987,34
12759,15954,8488,14272,4182,7526,18675,16108,47
9433,8036,2768,8873,1840,2700,31455,96136,44
8630,3051,17354,8027,7040,11857,103518,758618,34
3643,3897,8359,1382,7132,11043,12307,2098,37
808,11692,2647,3247,1835,3467,20208,57477,34
4029,1962,9813,3221,8011,16605,31789,20313,24
3602,318,1875,4374,4795,2291,8864,41478,35
19566,16333,19368,6681,10333,13894,36076,84326,38
1889,2310,4606,3617,2725,2292,21139,181916,29
607,4856,8776,7910,12585,7455,28905,4516,27
6990,4402,6760,17315,6161,8530,25397,235970,27
8136,5143,13248,15296,13128,15480,385942,1180416,4
410,5796,1642,1635,881,921,45021,212589,3
3301,13069,3563,1564,1289,2419,49315,55656,11
4015,7690,11374,8723,21061,10829,57470,184533,8
4841,9598,3065,1996,3393,6076,24851,52707,29
1010,1620,2225,7643,2172,4059,19168,93533,26
13774,9026,5487,10731,6525,12149,48298,54311,27
5141,20940,7311,8056,2506,13593,14627,16893,41
328,1341,937,1147,853,877,3251,123608,38
3254,843,6989,5010,8125,8862,6389,4958,47
5818,9161,2818,2627,802,1159,6373,70898,56
20511,3693,14263,2244,9344,6811,7036,8210,57
30537,26293,6194,9710,24843,24353,335515,260343,53
21540,48529,13169,9788,26028,10022,50616,224176,63
102584,125923,32386,6642,7790,68529,661749,1489920,53
2935,8768,15036,3282,16841,12903,18307,29079,43
4917,9364,12357,2147,7201,6413,11069,14867,53
3383,1825,5595,4720,5393,8204,9556,32010,43
4602,5299,9211,11587,13634,8964,46232,5370,37
6569,9627,9679,4219,9013,10213,16558,17660,40
